dataset,category,mode,k_shot,seed,Image AUROC,Image AP,Image F1,Pixel AUROC,Pixel AP,Pixel F1,Pixel PRO
mvtec,bottle,k1,1,0,0.9968,0.9990,0.9921,0.9907,0.9023,0.8264,0.9528
mvtec,bottle,k1,1,42,0.9937,0.9979,0.9921,0.9914,0.9006,0.8260,0.9509
mvtec,bottle,k1,1,123,0.9992,0.9998,0.9921,0.9874,0.8810,0.8026,0.9524
mvtec,bottle,k1,1,456,0.9881,0.9958,0.9921,0.9916,0.9022,0.8260,0.9562
mvtec,bottle,k1,1,789,1.0000,1.0000,1.0000,0.9911,0.9036,0.8334,0.9637
mvtec,bottle,k2,2,0,0.9952,0.9985,0.9921,0.9889,0.8888,0.8193,0.9623
mvtec,bottle,k2,2,42,0.9913,0.9973,0.9692,0.9670,0.7901,0.7394,0.8962
mvtec,bottle,k2,2,123,0.9960,0.9987,0.9921,0.9913,0.8935,0.8187,0.9534
mvtec,bottle,k2,2,456,0.9976,0.9992,0.9921,0.9915,0.9007,0.8272,0.9604
mvtec,bottle,k2,2,789,0.9992,0.9998,0.9921,0.9898,0.8889,0.8151,0.9566
mvtec,bottle,k4,4,0,0.9992,0.9998,0.9921,0.9765,0.8215,0.7655,0.9081
mvtec,bottle,k4,4,42,1.0000,1.0000,1.0000,0.9913,0.8899,0.8196,0.9503
mvtec,bottle,k4,4,123,0.9960,0.9987,0.9921,0.9914,0.8913,0.8181,0.9498
mvtec,bottle,k4,4,456,0.9952,0.9985,0.9921,0.9725,0.8071,0.7418,0.8859
mvtec,bottle,k4,4,789,1.0000,1.0000,1.0000,0.9916,0.8928,0.8222,0.9567
mvtec,cable,k1,1,0,0.9093,0.9504,0.8646,0.9548,0.6815,0.6468,0.8608
mvtec,cable,k1,1,42,0.9003,0.9429,0.8686,0.9495,0.6103,0.5562,0.7866
mvtec,cable,k1,1,123,0.9114,0.9518,0.8723,0.9462,0.6570,0.6190,0.7546
mvtec,cable,k1,1,456,0.8711,0.9182,0.8442,0.8987,0.5483,0.5326,0.6733
mvtec,cable,k1,1,789,0.8454,0.9040,0.8410,0.9346,0.6032,0.5613,0.7921
mvtec,cable,k2,2,0,0.9412,0.9657,0.8947,0.9757,0.7282,0.6591,0.9134
mvtec,cable,k2,2,42,0.9408,0.9659,0.8962,0.9724,0.7171,0.6531,0.8761
mvtec,cable,k2,2,123,0.9136,0.9477,0.8788,0.9529,0.6851,0.6289,0.8241
mvtec,cable,k2,2,456,0.8951,0.9361,0.8586,0.9189,0.6085,0.5862,0.7319
mvtec,cable,k2,2,789,0.9166,0.9550,0.8729,0.9033,0.5729,0.5591,0.6849
mvtec,cable,k4,4,0,0.9629,0.9782,0.9198,0.9790,0.7348,0.6635,0.9114
mvtec,cable,k4,4,42,0.9794,0.9879,0.9560,0.9800,0.7509,0.6698,0.9004
mvtec,cable,k4,4,123,0.9653,0.9784,0.9255,0.9720,0.7190,0.6440,0.8765
mvtec,cable,k4,4,456,0.9721,0.9820,0.9424,0.9805,0.7502,0.6746,0.9088
mvtec,cable,k4,4,789,0.9754,0.9860,0.9312,0.9811,0.7886,0.7152,0.9254
mvtec,capsule,k1,1,0,0.9250,0.9837,0.9444,0.9814,0.3983,0.4411,0.9242
mvtec,capsule,k1,1,42,0.9226,0.9824,0.9439,0.9809,0.4310,0.4703,0.9266
mvtec,capsule,k1,1,123,0.8456,0.9634,0.9185,0.9776,0.3948,0.4417,0.8940
mvtec,capsule,k1,1,456,0.9262,0.9809,0.9596,0.9912,0.5190,0.5384,0.9554
mvtec,capsule,k1,1,789,0.9326,0.9855,0.9422,0.9816,0.4385,0.4785,0.9383
mvtec,capsule,k2,2,0,0.9250,0.9782,0.9434,0.9917,0.4697,0.5264,0.9523
mvtec,capsule,k2,2,42,0.9198,0.9798,0.9478,0.9909,0.4947,0.5226,0.9345
mvtec,capsule,k2,2,123,0.8839,0.9743,0.9244,0.9826,0.4282,0.4602,0.9160
mvtec,capsule,k2,2,456,0.9446,0.9862,0.9636,0.9904,0.5180,0.5271,0.9375
mvtec,capsule,k2,2,789,0.9418,0.9852,0.9640,0.9919,0.5019,0.5317,0.9629
mvtec,capsule,k4,4,0,0.9370,0.9839,0.9640,0.9882,0.5189,0.5363,0.9378
mvtec,capsule,k4,4,42,0.9533,0.9891,0.9589,0.9915,0.4937,0.5232,0.9480
mvtec,capsule,k4,4,123,0.9370,0.9850,0.9545,0.9900,0.5597,0.5742,0.9633
mvtec,capsule,k4,4,456,0.9529,0.9880,0.9732,0.9930,0.5125,0.5604,0.9646
mvtec,capsule,k4,4,789,0.9553,0.9871,0.9774,0.9930,0.5206,0.5524,0.9699
mvtec,carpet,k1,1,0,1.0000,1.0000,1.0000,0.9949,0.7682,0.6941,0.9785
mvtec,carpet,k1,1,42,1.0000,1.0000,1.0000,0.9961,0.8064,0.7232,0.9777
mvtec,carpet,k1,1,123,1.0000,1.0000,1.0000,0.9957,0.7946,0.7147,0.9764
mvtec,carpet,k1,1,456,1.0000,1.0000,1.0000,0.9955,0.7864,0.7136,0.9750
mvtec,carpet,k1,1,789,1.0000,1.0000,1.0000,0.9954,0.7949,0.7087,0.9785
mvtec,carpet,k2,2,0,1.0000,1.0000,1.0000,0.9955,0.7839,0.7020,0.9810
mvtec,carpet,k2,2,42,1.0000,1.0000,1.0000,0.9957,0.7866,0.7090,0.9791
