dataset,category,mode,n_seeds,metric,mean,std,min,max
mvtec,bottle,k1,5,Image AUROC,0.9956,0.0043,0.9881,1.0000
mvtec,bottle,k1,5,Image AP,0.9985,0.0015,0.9958,1.0000
mvtec,bottle,k1,5,Image F1,0.9937,0.0032,0.9921,1.0000
mvtec,bottle,k1,5,Pixel AUROC,0.9904,0.0015,0.9874,0.9916
mvtec,bottle,k1,5,Pixel AP,0.8979,0.0085,0.8810,0.9036
mvtec,bottle,k1,5,Pixel F1,0.8229,0.0105,0.8026,0.8334
mvtec,bottle,k1,5,Pixel PRO,0.9552,0.0046,0.9509,0.9637
mvtec,bottle,k2,5,Image AUROC,0.9959,0.0027,0.9913,0.9992
mvtec,bottle,k2,5,Image AP,0.9987,0.0008,0.9973,0.9998
mvtec,bottle,k2,5,Image F1,0.9875,0.0092,0.9692,0.9921
mvtec,bottle,k2,5,Pixel AUROC,0.9857,0.0094,0.9670,0.9915
mvtec,bottle,k2,5,Pixel AP,0.8724,0.0414,0.7901,0.9007
mvtec,bottle,k2,5,Pixel F1,0.8039,0.0325,0.7394,0.8272
mvtec,bottle,k2,5,Pixel PRO,0.9458,0.0250,0.8962,0.9623
mvtec,bottle,k4,5,Image AUROC,0.9981,0.0021,0.9952,1.0000
mvtec,bottle,k4,5,Image AP,0.9994,0.0007,0.9985,1.0000
mvtec,bottle,k4,5,Image F1,0.9953,0.0039,0.9921,1.0000
mvtec,bottle,k4,5,Pixel AUROC,0.9847,0.0084,0.9725,0.9916
mvtec,bottle,k4,5,Pixel AP,0.8605,0.0380,0.8071,0.8928
mvtec,bottle,k4,5,Pixel F1,0.7934,0.0334,0.7418,0.8222
mvtec,bottle,k4,5,Pixel PRO,0.9302,0.0281,0.8859,0.9567
mvtec,cable,k1,5,Image AUROC,0.8875,0.0255,0.8454,0.9114
mvtec,cable,k1,5,Image AP,0.9335,0.0190,0.9040,0.9518
mvtec,cable,k1,5,Image F1,0.8581,0.0130,0.8410,0.8723
mvtec,cable,k1,5,Pixel AUROC,0.9368,0.0201,0.8987,0.9548
