mode,metric,mean,std
k1,Image AUROC,0.9041,0.0890
k1,Image AP,0.9508,0.0653
k1,Image F1,0.9255,0.0702
k1,Pixel AUROC,0.9419,0.0625
k1,Pixel AP,0.4852,0.1937
k1,Pixel F1,0.5184,0.1601
k1,Pixel PRO,0.8424,0.1037
k2,Image AUROC,0.9363,0.0669
k2,Image AP,0.9691,0.0412
k2,Image F1,0.9409,0.0620
k2,Pixel AUROC,0.9612,0.0331
k2,Pixel AP,0.5231,0.1912
k2,Pixel F1,0.5523,0.1508
k2,Pixel PRO,0.8835,0.0585
k4,Image AUROC,0.9609,0.0452
k4,Image AP,0.9819,0.0238
k4,Image F1,0.9589,0.0386
k4,Pixel AUROC,0.9667,0.0266
k4,Pixel AP,0.5453,0.1912
k4,Pixel F1,0.5695,0.1521
k4,Pixel PRO,0.8955,0.0512
