category,mode,n_seeds,metric,mean,std,min,max
bottle,k1,5,Image AUROC,0.9995,0.0006,0.9984,1.0000
bottle,k1,5,Image AP,0.9999,0.0002,0.9995,1.0000
bottle,k1,5,Image F1,0.9968,0.0039,0.9920,1.0000
bottle,k1,5,Pixel AUROC,0.9733,0.0042,0.9667,0.9787
bottle,k1,5,Pixel AP,0.7474,0.0225,0.7039,0.7678
bottle,k1,5,Pixel F1,0.7214,0.0172,0.6904,0.7402
bottle,k1,5,Pixel PRO,0.9091,0.0144,0.8909,0.9319
bottle,k2,6,Image AUROC,0.9992,0.0009,0.9976,1.0000
bottle,k2,6,Image AP,0.9998,0.0003,0.9992,1.0000
bottle,k2,6,Image F1,0.9960,0.0040,0.9920,1.0000
bottle,k2,6,Pixel AUROC,0.9793,0.0020,0.9764,0.9830
bottle,k2,6,Pixel AP,0.7691,0.0151,0.7466,0.7874
bottle,k2,6,Pixel F1,0.7425,0.0084,0.7309,0.7566
bottle,k2,6,Pixel PRO,0.9241,0.0128,0.9060,0.9408
bottle,k4,5,Image AUROC,0.9990,0.0009,0.9976,1.0000
bottle,k4,5,Image AP,0.9997,0.0003,0.9992,1.0000
bottle,k4,5,Image F1,0.9953,0.0039,0.9921,1.0000
bottle,k4,5,Pixel AUROC,0.9800,0.0018,0.9766,0.9816
bottle,k4,5,Pixel AP,0.7671,0.0024,0.7626,0.7696
bottle,k4,5,Pixel F1,0.7452,0.0095,0.7300,0.7567
bottle,k4,5,Pixel PRO,0.9097,0.0087,0.8995,0.9246
cable,k1,5,Image AUROC,0.8290,0.0625,0.7397,0.9245
cable,k1,5,Image AP,0.8833,0.0536,0.7996,0.9577
cable,k1,5,Image F1,0.8353,0.0346,0.7944,0.8913
cable,k1,5,Pixel AUROC,0.8988,0.0308,0.8429,0.9322
cable,k1,5,Pixel AP,0.4821,0.0687,0.3847,0.5738
cable,k1,5,Pixel F1,0.4962,0.0547,0.4200,0.5684
cable,k1,5,Pixel PRO,0.7624,0.0417,0.6880,0.8096
cable,k2,6,Image AUROC,0.8573,0.0255,0.8266,0.8919
cable,k2,6,Image AP,0.9144,0.0162,0.8924,0.9351
cable,k2,6,Image F1,0.8355,0.0133,0.8218,0.8571
cable,k2,6,Pixel AUROC,0.9153,0.0192,0.8840,0.9337
cable,k2,6,Pixel AP,0.5581,0.0353,0.5089,0.6045
cable,k2,6,Pixel F1,0.5493,0.0364,0.4976,0.5837
cable,k2,6,Pixel PRO,0.8094,0.0307,0.7714,0.8525
cable,k4,5,Image AUROC,0.9503,0.0206,0.9194,0.9779
cable,k4,5,Image AP,0.9715,0.0100,0.9572,0.9866
cable,k4,5,Image F1,0.9140,0.0242,0.8865,0.9508
cable,k4,5,Pixel AUROC,0.9505,0.0038,0.9450,0.9542
cable,k4,5,Pixel AP,0.6397,0.0124,0.6248,0.6580
cable,k4,5,Pixel F1,0.6191,0.0115,0.6022,0.6333
cable,k4,5,Pixel PRO,0.8850,0.0114,0.8688,0.9016
capsule,k1,5,Image AUROC,0.7429,0.0728,0.6394,0.8528
capsule,k1,5,Image AP,0.9136,0.0409,0.8404,0.9651
capsule,k1,5,Image F1,0.9248,0.0124,0.9046,0.9375
capsule,k1,5,Pixel AUROC,0.9731,0.0095,0.9552,0.9809
capsule,k1,5,Pixel AP,0.2721,0.0672,0.1704,0.3388
